Date,Open,High,Low,Close,Adj Close,Volume
10/19/2017,4.34,4.35,4.32,4.33,3.59662,324300
10/20/2017,4.35,4.38,4.34,4.35,3.613232,511000
10/23/2017,4.38,4.39,4.35,4.36,3.621539,288600
10/24/2017,4.34,4.36,4.33,4.34,3.604926,346000
10/25/2017,4.3,4.33,4.27,4.3,3.571701,346000
10/26/2017,4.27,4.28,4.24,4.24,3.521863,363200
10/27/2017,4.25,4.29,4.23,4.29,3.563395,775100
10/30/2017,4.34,4.35,4.29,4.3,3.571701,256500
10/31/2017,4.27,4.3,4.26,4.29,3.563395,181300
11/1/2017,4.31,4.33,4.27,4.29,3.563395,385200
11/2/2017,4.25,4.3,4.24,4.3,3.571701,382600
11/3/2017,4.27,4.29,4.22,4.26,3.538476,331400
11/6/2017,4.27,4.36,4.26,4.36,3.621539,1183600
11/7/2017,4.47,4.48,4.4,4.44,3.687989,485100
11/8/2017,4.48,4.49,4.45,4.46,3.704602,546900
11/9/2017,4.43,4.44,4.38,4.42,3.671376,408800
11/10/2017,4.47,4.47,4.43,4.45,3.696295,751100
11/13/2017,4.46,4.48,4.44,4.48,3.721214,241900
11/14/2017,4.43,4.44,4.4,4.41,3.66307,270500
11/15/2017,4.37,4.39,4.35,4.37,3.629845,253400
11/16/2017,4.34,4.36,4.31,4.35,3.613232,410500
11/17/2017,4.36,4.4,4.36,4.37,3.629845,213000
11/20/2017,4.34,4.37,4.33,4.36,3.621539,436900
11/21/2017,4.43,4.45,4.42,4.43,3.679682,515900
11/22/2017,4.51,4.53,4.49,4.51,3.746133,731800
11/24/2017,4.57,4.59,4.55,4.57,3.795971,346300
11/27/2017,4.58,4.61,4.56,4.57,3.795971,469000
11/28/2017,4.6,4.61,4.57,4.57,3.795971,524300
11/29/2017,4.56,4.63,4.53,4.55,3.779358,622200
11/30/2017,4.58,4.58,4.47,4.49,3.72952,581900
12/1/2017,4.53,4.54,4.45,4.47,3.712908,474700
12/4/2017,4.53,4.54,4.49,4.51,3.746133,267500
12/5/2017,4.52,4.54,4.51,4.52,3.754439,221700
12/6/2017,4.52,4.53,4.45,4.46,3.704602,388300
12/7/2017,4.46,4.5,4.46,4.5,3.737827,443600
12/8/2017,4.48,4.49,4.44,4.45,3.696295,304300
12/11/2017,4.5,4.52,4.49,4.51,3.746133,643900
12/12/2017,4.55,4.57,4.53,4.53,3.762745,331600
12/13/2017,4.56,4.59,4.55,4.58,3.804277,322700
12/14/2017,4.56,4.58,4.54,4.54,3.771052,707300
12/15/2017,4.57,4.58,4.53,4.54,3.771052,444200
12/18/2017,4.51,4.55,4.5,4.54,3.771052,315400
12/19/2017,4.52,4.54,4.51,4.52,3.754439,167200
12/20/2017,4.49,4.5,4.48,4.49,3.72952,287000
12/21/2017,4.41,4.48,4.41,4.46,3.704602,528800
12/22/2017,4.44,4.51,4.44,4.5,3.737827,311400
12/26/2017,4.51,4.53,4.48,4.5,3.737827,247100
12/27/2017,4.49,4.5,4.46,4.49,3.72952,466200
12/28/2017,4.47,4.49,4.45,4.48,3.721214,609000
12/29/2017,4.45,4.45,4.38,4.41,3.66307,973500
1/2/2018,4.51,4.53,4.49,4.52,3.754439,366900
1/3/2018,4.55,4.58,4.53,4.57,3.795971,736100
1/4/2018,4.7,4.76,4.69,4.74,3.937177,1253700
1/5/2018,4.76,4.78,4.74,4.77,3.962096,384300
1/8/2018,4.8,4.84,4.79,4.83,4.011934,526200
1/9/2018,4.86,4.91,4.85,4.89,4.061771,495500
1/10/2018,4.96,5.01,4.96,5.01,4.161448,507900
1/11/2018,5.04,5.09,5.01,5.09,4.227897,1011600
1/12/2018,5.01,5.08,5.01,5.08,4.219591,479000
1/16/2018,5.08,5.1,5.03,5.03,4.17806,583800
1/17/2018,5.19,5.21,5.16,5.18,4.302654,966700
1/18/2018,5.25,5.28,5.23,5.26,4.369104,1004800
1/19/2018,5.25,5.26,5.21,5.22,4.335879,359400
1/22/2018,5.25,5.26,5.23,5.26,4.369104,553100
1/23/2018,5.19,5.24,5.18,5.23,4.344185,856300
1/24/2018,5.23,5.29,5.23,5.29,4.394023,835600
1/25/2018,5.35,5.35,5.26,5.27,4.37741,508900
1/26/2018,5.18,5.22,5.15,5.2,4.319266,560500
1/29/2018,5.1,5.1,5.05,5.05,4.194672,662800
1/30/2018,5.1,5.1,5.01,5.02,4.169753,528700
1/31/2018,5.05,5.06,4.97,4.98,4.136528,1739200
2/1/2018,5.13,5.14,5.09,5.14,4.269428,711900
2/2/2018,5.12,5.12,5.03,5.03,4.17806,339500
2/5/2018,5.03,5.06,4.85,4.89,4.061771,864100
2/6/2018,4.9,4.97,4.87,4.97,4.128222,1450600
2/7/2018,4.9,4.93,4.8,4.81,3.995322,710400
2/8/2018,4.77,4.77,4.59,4.6,3.820889,649700
2/9/2018,4.6,4.63,4.5,4.6,3.820889,620300
2/12/2018,4.69,4.8,4.67,4.79,3.978709,4227800
2/13/2018,4.78,4.81,4.76,4.81,3.995322,1125300
2/14/2018,4.73,4.87,4.71,4.86,4.036853,312600
2/15/2018,4.82,4.84,4.77,4.84,4.02024,220000
2/16/2018,4.81,4.85,4.77,4.77,3.962096,335600
2/20/2018,4.96,4.98,4.93,4.95,4.111609,241300
2/21/2018,4.99,5.04,4.99,5.01,4.161448,756000
2/22/2018,5.03,5.13,5.03,5.06,4.202979,377100
2/23/2018,5.06,5.1,5.05,5.08,4.219591,217000
2/26/2018,5.17,5.23,5.16,5.23,4.344185,884000
2/27/2018,5.21,5.21,5.1,5.11,4.24451,235500
2/28/2018,5.04,5.08,4.96,4.96,4.119916,293100
3/1/2018,4.91,4.93,4.81,4.89,4.061771,287500
3/2/2018,4.81,4.89,4.77,4.88,4.053465,272800
3/5/2018,4.89,4.99,4.89,4.98,4.136528,273300
3/6/2018,4.97,4.99,4.89,4.89,4.061771,2008500
3/7/2018,4.81,4.85,4.79,4.83,4.011934,513300
3/8/2018,4.81,4.83,4.79,4.81,3.995322,169300
3/9/2018,4.84,4.92,4.84,4.91,4.078384,375900
3/12/2018,4.9,4.94,4.89,4.92,4.08669,153200
3/13/2018,4.93,4.99,4.89,4.9,4.070078,178900
3/14/2018,4.84,4.86,4.79,4.82,4.003628,398500
3/15/2018,4.79,4.8,4.72,4.73,3.928871,532000
3/16/2018,4.76,4.84,4.75,4.81,3.995322,373300
3/19/2018,4.79,4.83,4.76,4.77,3.962096,263800
3/20/2018,4.83,4.9,4.83,4.88,4.053465,196100
3/21/2018,4.88,4.94,4.86,4.93,4.094996,259700
3/22/2018,4.86,4.87,4.8,4.8,3.987015,231900
3/23/2018,4.89,4.95,4.84,4.87,4.045159,319400
3/26/2018,4.86,4.86,4.76,4.83,4.011934,297200
3/27/2018,4.88,4.9,4.83,4.83,4.011934,110100
3/28/2018,4.81,4.85,4.8,4.81,3.995322,320900
3/29/2018,4.86,4.93,4.86,4.93,4.094996,355900
4/2/2018,4.92,4.94,4.79,4.83,4.011934,166000
4/3/2018,4.82,4.85,4.79,4.83,4.011934,153000
4/4/2018,4.77,4.86,4.76,4.86,4.036853,494400
4/5/2018,4.81,4.84,4.8,4.81,3.995322,613300
4/6/2018,4.83,4.85,4.75,4.76,3.95379,529200
4/9/2018,4.43,4.48,4.35,4.39,3.646457,2522700
4/10/2018,4.39,4.46,4.38,4.44,3.687989,1702000
4/11/2018,4.4,4.63,4.38,4.6,3.820889,725800
4/12/2018,4.62,4.69,4.62,4.64,3.854115,448700
4/13/2018,4.6,4.6,4.52,4.55,3.779358,643100
4/16/2018,4.48,4.59,4.45,4.56,3.787664,480000
4/17/2018,4.54,4.59,4.5,4.58,3.804277,355700
4/18/2018,4.66,4.7,4.62,4.69,3.895646,512200
4/19/2018,4.65,4.68,4.61,4.66,3.870727,605200
4/20/2018,4.66,4.68,4.62,4.63,3.845809,278100
4/23/2018,4.6,4.62,4.54,4.62,3.837502,422100
4/24/2018,4.68,4.69,4.6,4.61,3.829196,320800
4/25/2018,4.53,4.56,4.5,4.56,3.787664,299700
4/26/2018,4.55,4.59,4.53,4.57,3.795971,294900
4/27/2018,4.6,4.63,4.57,4.59,3.812583,331400
4/30/2018,4.61,4.64,4.55,4.56,3.787664,370100
5/1/2018,4.54,4.55,4.5,4.51,3.746133,179300
5/2/2018,4.5,4.52,4.45,4.48,3.721214,378400
5/3/2018,4.52,4.53,4.45,4.51,3.746133,469000
5/4/2018,4.48,4.55,4.48,4.53,3.762745,260100
5/7/2018,4.53,4.55,4.49,4.49,3.72952,134000
5/8/2018,4.52,4.54,4.47,4.53,3.762745,408700
5/9/2018,4.54,4.6,4.54,4.59,3.812583,143200
5/10/2018,4.66,4.72,4.66,4.72,3.920565,492400
5/11/2018,4.76,4.85,4.76,4.78,3.970402,259500
5/14/2018,4.82,4.84,4.78,4.79,3.978709,169400
5/15/2018,4.73,4.74,4.69,4.71,3.912259,161600
5/16/2018,4.78,4.79,4.7,4.76,3.95379,132900
5/17/2018,4.74,4.77,4.69,4.71,3.912259,167000
5/18/2018,4.63,4.68,4.62,4.66,3.870727,320100
5/21/2018,4.72,4.75,4.69,4.72,3.920565,308900
5/22/2018,4.75,4.78,4.73,4.78,3.970402,1311600
5/23/2018,4.71,4.75,4.65,4.75,3.945484,188400
5/24/2018,4.66,4.71,4.65,4.69,3.895646,285400
5/25/2018,4.62,4.65,4.59,4.64,3.854115,229600
5/29/2018,4.55,4.59,4.51,4.55,3.779358,549300
5/30/2018,4.53,4.6,4.52,4.59,3.812583,263500
5/31/2018,4.61,4.63,4.53,4.54,3.771052,502000
6/1/2018,4.63,4.63,4.59,4.6,3.820889,340800
6/4/2018,4.64,4.68,4.63,4.64,3.854115,375000
6/5/2018,4.64,4.64,4.6,4.62,3.837502,725700
6/6/2018,4.65,4.68,4.64,4.68,3.88734,206600
6/7/2018,4.68,4.69,4.61,4.67,3.879034,193600
6/8/2018,4.6,4.6,4.53,4.57,3.795971,203900
6/11/2018,4.49,4.54,4.47,4.5,3.737827,583300
6/12/2018,4.46,4.49,4.45,4.48,3.721214,316400
6/13/2018,4.46,4.48,4.44,4.48,3.721214,609000
6/14/2018,4.43,4.44,4.41,4.42,3.671376,433400
6/15/2018,4.39,4.39,4.32,4.34,3.604926,555700
6/18/2018,4.25,4.29,4.23,4.29,3.563395,417100
6/19/2018,4.16,4.25,4.13,4.24,3.521863,454900
6/20/2018,4.29,4.3,4.23,4.25,3.530169,238500
6/21/2018,4.2,4.21,4.15,4.21,3.496944,649700
6/22/2018,4.29,4.37,4.27,4.36,3.621539,588500
6/25/2018,4.32,4.36,4.3,4.36,3.621539,511400
